Comment(contents=Contents_c(objs=[FragText(text='什麼意思?')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129415386928, pid=129415611367, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=8, agree=0, disagree=0, create_time=1579235000, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='那個有點設定太獨特化，可能不方便搬上來，至少在我作品能有點知名度以前')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129576274567, pid=129577679459, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=10, agree=0, disagree=0, create_time=1580124317, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='全部都是自己畫的.')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129578402766, pid=129579766069, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=11, agree=0, disagree=0, create_time=1580131868, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='什麼意思?')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129592283250, pid=129599262115, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=14, agree=0, disagree=0, create_time=1580226582, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='可愛就要多多抱抱')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129602581096, pid=129605525108, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=15, agree=0, disagree=0, create_time=1580270911, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='會持續努力，謝謝支持')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129615735117, pid=129673321688, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=16, agree=0, disagree=0, create_time=1580561039, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text=' 其實也一直在思考要不要讓她門登場以及登場要什麼職業')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129989980412, pid=130005606844, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=1075347465, floor=19, agree=0, disagree=0, create_time=1581775362, is_thread_author=True)

Comment(contents=Contents_c(objs=[FragText(text='會繼續的，請支持')]), fid=259594, fname='光之美少女', tid=6448142484, ppid=129991739211, pid=130029870979, user=UserInfo_c(user_id=1486229770, portrait='tb.1.4fd607ba.Jkb3SUu_kGZMDltT6urOKw', user_name='成高心親王', nick_name_new='成高心親王', level=5, gender=<Gender.MALE: 1>, icons=[], is_bawu=False, is_vip=False, is_god=False, priv_like=<PrivLike.PUBLIC: 1>, priv_reply=<PrivReply.ALL: 1>), reply_to_id=0, floor=20, agree=0, disagree=0, create_time=1581857954, is_thread_author=True)

